well,primer,origin,sample
C1,cons,ag.soil,AG1
C3,f,ag.soil,AG1
C5,its,ag.soil,AG1
H2,cons,control,control
H4,f,control,control
H6,its,control,control
F1,cons,drip,D19
F3,f,drip,D19
F5,its,drip,D19
D1,cons,drip,D3
D3,f,drip,D3
D5,its,drip,D3
E1,cons,drip,D4
E3,f,drip,D4
E5,its,drip,D4
G1,cons,leaf,L47
G3,f,leaf,L47
G5,its,leaf,L47
H1,cons,leaf,L90
H3,f,leaf,L90
H5,its,leaf,L90
A2,cons,leaf,L95
A4,f,leaf,L95
A6,its,leaf,L95
A1,cons,mock1,mock1
A3,f,mock1,mock1
A5,its,mock1,mock1
B1,cons,mock2,mock2
B3,f,mock2,mock2
B5,its,mock2,mock2
E2,cons,Pan.soil,PS1
E4,f,Pan.soil,PS1
E6,its,Pan.soil,PS1
F2,cons,Pan.soil,PS2
F4,f,Pan.soil,PS2
F6,its,Pan.soil,PS2
G2,cons,Pan.soil,PS3
G4,f,Pan.soil,PS3
G6,its,Pan.soil,PS3
D2,cons,WR.soil,WS23
D4,f,WR.soil,WS23
D6,its,WR.soil,WS23
B2,cons,WR.soil,WS3
B4,f,WR.soil,WS3
B6,its,WR.soil,WS3
C2,cons,WR.soil,WS7
C4,f,WR.soil,WS7
C6,its,WR.soil,WS7